district,place_id,name,address,lat,lng,rating,num_ratings
Hambantota,ChIJaRJEcgS95joRPj3_GMKTGi4,Cargills Food City - Hambanthota,"Thissa Road, Hambanthota, Sri Lanka",6.1283566,81.12586689999999,4.1,412
Hambantota,ChIJITAPofe65joR1Tply3SbEqA,Cargills Food City - Ambalantota,"129, Jayantha Building, Tangalle Road, Ambalantota 82100, Sri Lanka",6.1222693,81.0186658,4.2,423
Jaffna,ChIJg_XqIqpW_joR-zeHHgs0_qM,Cargills Food City - Jaffna,"No 420 Hospital Rd, Jaffna 40000, Sri Lanka",9.6651744,80.0138527,4.3,1812
Jaffna,ChIJvbyIJwFU_joRtYJ-n4YN4gs,Cargills Food City - Jaffna,"No. 54 Kannathiddy Rd, Jaffna, Sri Lanka",9.6712446,80.0116105,4.2,333
Kilinochchi,ChIJO4YDUtaU_joR8LX6QXT9L1k,Cargills Food City - Kilinochchi,"CC45+F86, Kilinochchi, Sri Lanka",9.4061536,80.4082792,4.2,395
Mannar,ChIJaVFUEOnZ_ToRgKJCGL8DSR8,Cargills Food City Express - Mannar,"No Road 01 ,Pallimulei, Mannar, Sri Lanka",8.9783337,79.9186143,4.1,393
Vavuniya,ChIJI5tgFAIV_DoRnDyZW5t8928,Cargills Food City - Vavuniya,"137 Kandy Rd, Vavuniya, Sri Lanka",8.752324,80.4978186,4.2,844
Mullaitivu,ChIJEz8Bb0lN-ToRpbF87JUlw24,Cargills Food City Express,"7R98+3H5, Main Road, Mullaitivu, Sri Lanka",9.267652199999999,80.816486,4.0,128
Batticaloa,ChIJ0bLRbVfN-joRMccJPLP7K0A,Cargills Food City. - Batticaloa 1,"No. 67, St. Anthony's Street, Sri Lanka",7.7141492,81.69474699999999,4.2,455
Batticaloa,ChIJDb_YbFfN-joRTqWhyij_4LU,Cargills Food City,"PMGQ+8XC, Batticaloa, Sri Lanka",7.725822099999998,81.68989719999999,4.2,462
Ampara,ChIJr6ssre4Z5ToRyt3hipCuR94,Cargills Food City - Ampara,"7MVG+934, Reegal Cinama Nidahas Mawatha, Cinema Rd, Ampara 32000, Sri Lanka",7.291442,81.67530169999999,4.2,401
Trincomalee,ChIJPYQLxMC8-zoRA-CN-Wljz-c,Cargills Food City - Trincomalee,"190 Thiruganansampanthar Street, Trincomalee, Sri Lanka",8.5775762,81.2280895,4.2,1393
Kurunegala,ChIJIUIx2_c54zoRwV5F9tPPYUE,Cargills Food City - Kurunegala 1,"44 Negombo Rd, Kurunegala, Sri Lanka",7.488451700000001,80.36065529999999,4.2,965
Kurunegala,ChIJFXY92vc54zoRLpo17LPH3Qo,Cargills Food City - Kurunegala 02,"103 Dambulla Rd, Kurunegala, Sri Lanka",7.492658899999999,80.3663558,4.1,429
Kurunegala,ChIJGUQoTqc54zoRM_vAdAYQLwQ,Cargills Food City - Kurunegala 4,"F9GH+GHH, Theliyagonna, Sri Lanka",7.4763179,80.378989,4.4,164
Kurunegala,ChIJ3fGLmyQ64zoR79bq5yfhSi4,Cargills Food City - Kurunegala 3,"Colombo Road, Kurunegala, Sri Lanka",7.477999199999999,80.3566403,4.2,618
Kurunegala,ChIJpdQwy-E74zoRR0AcH5gbGD0,Cargills Food City Yanthampalawa - Express,"225 B82, Kurunegala, Sri Lanka",7.493573700000001,80.3478478,4.4,101
Kurunegala,ChIJVQUbV_A74zoROr-RZmeR9jg,Cargils Food City Express - Piduruwella,"Piduruwella Clock Tower, B27, Kurunegala, Sri Lanka",7.467707799999999,80.3040391,4.2,78
Kurunegala,ChIJ_f54q0Y64zoRMDm1pU1W2Jk,Cargills Food City Express Malkaduwawa,"F8HQ+48G, Kurunegala, Sri Lanka",7.477780699999999,80.33834019999999,4.1,226
Puttalam,ChIJOaGu_AwW_ToRgD4nlY5Zp0I,Cargills Food City - Puttalam,"97B Katugastota-Kurunegala, Puttalam Hwy, Puttalam, Sri Lanka",8.027273899999999,79.83770559999999,4.0,442
Anuradhapura,ChIJp03-x6n1_DoRvhN9H0ls5zI,Cargills Food City - Anuradhapura 1,"248, Anuradhapura, Maithripala Senanayake Mawatha, Anuradhapura 50000, Sri Lanka",8.3316985,80.4091098,4.1,1232
Anuradhapura,ChIJcVvY9Qn1_DoRNwPnwBMiMwU,Cargills Food City - Anuradhapura 2,"8CR6+3FG, Anuradhapura, Sri Lanka",8.3401949,80.4112621,4.3,1363
