place_id,name,lat,lng,address,rating,user_ratings_total,types
ChIJZZQ5jMrv4joRUeXOd9FHVoA,Cargills Food City - Katunayaka,7.163455000000001,79.8833557,"36 Baseline Rd, Katunayake",4.2,419.0,"grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJj-51LADl4joRL8tJXTNiitM,Cargills Foodcity Express - Dunagaha,7.2312398,79.973236,"6XJF+F7W, No 79 - C Negombo - Mirigama Rd, Dunagaha",5.0,3.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ-49eZKDv4joRJy3iw6ceWCg,Cargills Food City (Express) - Miriswatta,7.2309063,79.9083493,"6WJ5+975, Miriswatte",4.3,57.0,"grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJGevX95nv4joR_zh_rOFgeto,Cargills Food City Express - Andiambalama,7.1867065,79.9024865,"No. No. 223 D, Minuwangoda Rd",4.0,209.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ82Lzxh3e4joRPru1d2Hq1iE,Cargills Food City - Pannala,7.3290475,80.0245968,"33 B356, Pannala",4.0,512.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ2QUH8Tnl4joRzdqYBFRvfqo,Cargills Food City - Minuwangoda.,7.166388899999999,79.9467343,"Cargills Building, Minuwangoda",4.0,276.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ0zh-BfLj4joRSd2zkJ_on0U,Cargills Food City Express - Divulapitiya,7.223770399999999,80.018295,Divulapitiya,3.9,350.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJPWLUd7st4zoRT7KvujUXOOU,Cargills Food City - Wariyapola,7.618042399999998,80.2479312,Wariyapola,4.2,495.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJS2ieGEno4joRovi0KMWh4DM,Cargills Food City - Dankotuwa,7.298172000000001,79.882278,"35, 37 Natthandiya Road, Dankotuwa",4.0,377.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ9UCBMLfZ4joRSyMltkmJYL8,Cargills Food City - Kuliyapitiya 1,7.4728724,80.0444109,"183 Hettipola Rd, Kuliyapitiya",3.9,532.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJy8h8KUzv4joRkqB-PYY_nAU,Cargills Food City Express - Kimbulapitiya,7.206406500000001,79.8951635,"6V4W+H3M, Kimbulapitiya West, Kimbulapitiya",4.0,51.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJb0Fk6uHp4joRqk0bNUULjCc,Cargills Food City Express - Katana,7.2544824,79.9129682,"95 Negombo - Giriulla Rd, Katana",4.5,73.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJwcpE2cfv4joRe2R6JDEeZqo,Cargills Food City Express - Bandaranaike International Airport,7.173369,79.8861574,"5VFP+8FV, Canada Friendship Rd, Katunayake",4.2,45.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJk_fqOBzZ4joR5pOkfFv-Cnk,Cargills Food City - Kuliyapitiya 2,7.4687036,80.0341414,"F29M+FMJ, Kuliyapitiya",4.4,350.0,"grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ400aggto4zoRoDFLiJgPFTs,Cargills Food City - Katugastota 2,7.321245200000001,80.6274966,"452 Katugastota Rd, Katugastota",4.2,1103.0,"supermarket,pharmacy,health,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJDUDAi8RC4zoRs6vM0b6nbFU,Cargills Food City - Akurana,7.369337499999999,80.617334,"281 Matale Rd, Akurana",4.0,426.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJIUIx2_c54zoRwV5F9tPPYUE,Cargills Food City - Kurunegala 1,7.488451700000001,80.36065529999999,"44 Negombo Rd, Kurunegala",4.2,965.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJFXY92vc54zoRLpo17LPH3Qo,Cargills Food City - Kurunegala 02,7.492658899999999,80.3663558,"103 Dambulla Rd, Kurunegala",4.1,429.0,"supermarket,convenience_store,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJHZ9MRC9F4zoRMM_2UzGX7pU,Cargills Food City - Matale 1,7.474261800000001,80.6225225,"99 A, King Street, No. 95 Kandy Rd, Matale",4.1,627.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJAQAAAP9C4zoRVmMl_x5CKEs,Cargills Food City Express - Poojapitiya,7.381315700000001,80.5867707,"1/C, No 6, Owissa Road, Poojapitiya",4.3,190.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
