place_id,user_ratings_total,types,district,num_ratings,_merge,name,lat,lng,address,rating
ChIJcSfFS3BZ4joRwT--zDOCj-Q,476.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",Colombo,476.0,both,Cargills Food City Express,6.9114743,79.8649743,"75 Dr CWW Kannangara Mawatha, Colombo",4.1
ChIJcTuA0Jeq4zoRSehuolOKQWw,103.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City Express - Pugoda,6.9762412,80.1210424,"Hanwella Jct Rd, Pugoda",4.1
ChIJcVvY9Qn1_DoRNwPnwBMiMwU,1363.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",Anuradhapura,1363.0,both,Cargills Food City - Anuradhapura 2,8.3401949,80.4112621,"8CR6+3FG, Anuradhapura",4.3
ChIJcx49fgBR4joRk-643HrpJwQ,3.0,"grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Depanama,6.8549374,79.94543519999999,"VW3W+W6Q, 100 Boralla Rd, Pannipitiya",5.0
ChIJd8z_Nrkr4joR0Ti3DClxXEs,116.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City Express - Ahungalla,6.3151843,80.034932,"828M+3XF, Wathuregama",4.4
ChIJdf4QgapZ4joRtaivH6tbWPM,,,Colombo,159.0,right_only,Cargills Food City - Maligawatta 2,6.9386902,79.8747583,"227 Sri Saddarma Mawatha, Colombo 01000, Sri Lanka",3.9
ChIJdwdS6XVo4zoRZSRcOKg4qKA,667.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",Kandy,667.0,both,Cargills Food City - Katugastota - 1,7.3142426,80.6316397,"8J7J+JMQ, 271 A Katugastota Rd, Kandy",4.0
ChIJe5cHj3NX4joRPi6K2BqprCg,295.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",,,left_only,Cargills Food City Express - Mulleriyawa,6.936796299999999,79.9380264,"Galwana Junction, Orugodawatte - Ambatale Rd",4.0
ChIJeT03feAF4zoR8m3LhzqxiXI,55.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City Express - Kannattota,7.0825713,80.2719157,"10 Main St, Kannaththota",4.4
ChIJeU4CZoxX4joROjPrvB4cTjo,491.0,"grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City - Himbutana,6.9228443,79.9402329,"WWFR+43Q, Colombo",4.0
